transaction_id,customer_id,timestamp,type,merchant_category,amount,is_fraud
TX0000029,cust_0409,2024-06-12T18:28:00,transfer,entertainment,1492.75,0
TX0000030,cust_0530,2024-03-02T13:07:00,payment,electronics,679.97,0
TX0000031,cust_0022,2024-01-02T07:25:00,payment,grocery,884.52,0
TX0000032,cust_0073,2024-06-13T19:50:00,payment,electronics,1063.22,0
TX0000033,cust_0033,2024-02-20T16:41:00,payment,grocery,1290.15,0
TX0000034,cust_0220,2024-04-14T21:30:00,transfer,utilities,811.15,0
TX0000035,cust_0485,2024-02-04T15:54:00,withdrawal,entertainment,368.28,0
TX0000036,cust_0097,2024-03-15T20:07:00,withdrawal,entertainment,149.91,0
TX0000037,cust_0479,2024-06-28T03:53:00,payment,healthcare,1296.44,0
TX0000038,cust_0662,2024-05-25T17:50:00,withdrawal,travel,152.13,0
TX0000039,cust_0112,2024-01-26T12:27:00,payment,entertainment,376.74,0
TX0000040,cust_0433,2024-03-21T16:04:00,withdrawal,electronics,279.31,0
TX0000041,cust_0564,2024-06-01T04:39:00,transfer,utilities,151.37,0
TX0000042,cust_0016,2024-01-31T06:37:00,purchase,grocery,1453.65,0
TX0000043,cust_0417,2024-06-13T06:49:00,payment,entertainment,731.03,0
TX0000044,cust_0061,2024-02-18T06:41:00,payment,entertainment,251.13,0
TX0000045,cust_0466,2024-05-22T14:33:00,transfer,healthcare,431.45,0
TX0000046,cust_0570,2024-02-24T00:20:00,withdrawal,grocery,994.5,0
TX0000047,cust_0223,2024-01-12T02:19:00,withdrawal,utilities,1453.22,0
TX0000048,cust_0766,2024-04-01T12:59:00,payment,entertainment,473.84,0
TX0000049,cust_0544,2024-06-03T23:34:00,purchase,electronics,240.36,0
TX0000050,cust_0191,2024-03-14T12:07:00,payment,grocery,107.44,0
TX0000051,cust_0123,2024-04-18T05:29:00,withdrawal,utilities,1412.69,0
TX0000052,cust_0041,2024-04-12T21:30:00,withdrawal,utilities,930.98,0
TX0000053,cust_0536,2024-05-10T09:05:00,payment,healthcare,477.97,0
TX0000054,cust_0322,2024-04-27T12:14:00,withdrawal,healthcare,361.84,0
TX0000055,cust_0308,2024-01-02T16:41:00,purchase,electronics,688.55,0
TX0000056,cust_0470,2024-01-14T08:04:00,withdrawal,electronics,933.63,0
TX0000057,cust_0551,2024-06-09T08:33:00,payment,travel,323.67,0
TX0000058,cust_0071,2024-03-20T18:27:00,withdrawal,grocery,1319.51,0
TX0000059,cust_0557,2024-04-06T06:58:00,transfer,healthcare,1056.79,0
TX0000060,cust_0009,2024-01-19T20:34:00,withdrawal,healthcare,1003.46,0
TX0000061,cust_0138,2024-04-10T17:04:00,purchase,healthcare,400.38,0
TX0000062,cust_0160,2024-03-03T10:04:00,transfer,healthcare,1256.68,1
TX0000063,cust_0271,2024-01-17T19:15:00,payment,electronics,760.59,0
TX0000064,cust_0284,2024-04-25T23:35:00,payment,grocery,70.91,0
TX0000065,cust_0269,2024-03-18T20:35:00,withdrawal,healthcare,246.57,0
TX0000066,cust_0575,2024-06-13T13:19:00,payment,healthcare,29.07,1
TX0000067,cust_0379,2024-01-08T14:45:00,payment,grocery,875.85,0
TX0000068,cust_0316,2024-06-12T15:27:00,purchase,electronics,550.15,0
TX0000069,cust_0367,2024-03-05T09:14:00,payment,electronics,319.06,0
TX0000070,cust_0799,2024-05-16T10:31:00,purchase,utilities,842.03,0
TX0000071,cust_0159,2024-06-26T17:06:00,payment,grocery,1389.02,0
TX0000072,cust_0182,2024-06-17T07:08:00,payment,healthcare,1322.72,0
TX0000073,cust_0341,2024-06-06T07:09:00,withdrawal,healthcare,1174.67,0
TX0000074,cust_0753,2024-01-20T16:16:00,payment,healthcare,1217.07,0
TX0000075,cust_0392,2024-02-06T07:56:00,purchase,grocery,1308.89,0
TX0000076,cust_0472,2024-02-10T13:58:00,purchase,grocery,527.74,0
TX0000077,cust_0025,2024-06-06T08:24:00,withdrawal,travel,991.75,0
TX0000078,cust_0072,2024-04-02T17:37:00,payment,healthcare,1450.5,0
TX0000079,cust_0410,2024-06-19T23:35:00,purchase,travel,1020.88,0
TX0000080,cust_0029,2024-04-15T16:38:00,purchase,grocery,177.44,0
TX0000081,cust_0272,2024-05-12T15:03:00,withdrawal,travel,62.19,0
TX0000082,cust_0322,2024-03-11T02:56:00,purchase,electronics,657.41,0
TX0000083,cust_0591,2024-01-01T07:23:00,payment,entertainment,289.17,0
TX0000084,cust_0533,2024-06-20T04:04:00,withdrawal,healthcare,1388.73,0
TX0000085,cust_0760,2024-01-13T17:43:00,payment,entertainment,1106.87,0
TX0000086,cust_0339,2024-05-11T00:39:00,transfer,electronics,936.62,0
TX0000087,cust_0308,2024-03-14T06:06:00,transfer,travel,763.15,0
TX0000088,cust_0714,2024-05-01T01:07:00,payment,entertainment,447.0,0
TX0000089,cust_0389,2024-04-13T14:27:00,purchase,utilities,1017.59,0
TX0000090,cust_0309,2024-02-22T05:32:00,purchase,travel,612.08,0
TX0000091,cust_0216,2024-02-28T15:55:00,withdrawal,healthcare,647.68,0
TX0000092,cust_0477,2024-03-27T03:22:00,transfer,utilities,665.47,0
TX0000093,cust_0754,2024-04-30T20:25:00,payment,utilities,258.69,0
TX0000094,cust_0649,2024-05-02T11:29:00,payment,grocery,930.79,0
TX0000095,cust_0318,2024-01-09T09:54:00,payment,electronics,340.84,0
TX0000096,cust_0251,2024-03-23T21:44:00,transfer,electronics,1475.98,0
TX0000097,cust_0645,2024-03-30T23:58:00,transfer,entertainment,865.63,0
TX0000098,cust_0410,2024-06-11T12:05:00,transfer,electronics,369.76,0
TX0000099,cust_0769,2024-02-09T20:07:00,purchase,entertainment,1291.36,0
TX0000100,cust_0181,2024-01-10T03:24:00,transfer,entertainment,1207.14,0
TX0000101,cust_0571,2024-01-25T06:34:00,purchase,entertainment,377.55,0
TX0000102,cust_0476,2024-02-27T18:17:00,purchase,utilities,1003.03,0
TX0000103,cust_0774,2024-06-11T09:17:00,transfer,healthcare,1337.68,0
TX0000104,cust_0517,2024-06-12T07:57:00,purchase,entertainment,642.98,0
TX0000105,cust_0163,2024-05-16T20:33:00,withdrawal,travel,1116.76,0
TX0000106,cust_0254,2024-03-29T05:14:00,payment,utilities,1260.6,0
TX0000107,cust_0642,2024-02-22T00:21:00,withdrawal,healthcare,362.67,0
TX0000108,cust_0241,2024-01-15T16:02:00,payment,utilities,411.21,0
TX0000109,cust_0142,2024-05-08T14:23:00,withdrawal,grocery,230.49,0
TX0000110,cust_0220,2024-03-25T19:39:00,withdrawal,utilities,101.02,0
TX0000111,cust_0426,2024-06-13T17:17:00,purchase,entertainment,98.09,0
TX0000112,cust_0789,2024-03-10T05:54:00,transfer,utilities,878.2,0
TX0000113,cust_0489,2024-06-04T08:46:00,withdrawal,entertainment,13.81,0
TX0000114,cust_0430,2024-06-12T10:35:00,transfer,utilities,809.64,0
TX0000115,cust_0225,2024-03-02T04:34:00,withdrawal,entertainment,413.04,0
TX0000116,cust_0685,2024-06-02T00:13:00,withdrawal,grocery,1020.32,0
TX0000117,cust_0479,2024-01-05T21:49:00,purchase,utilities,1379.71,0
TX0000118,cust_0404,2024-04-27T00:12:00,transfer,electronics,889.88,0
TX0000119,cust_0439,2024-02-17T08:38:00,withdrawal,electronics,207.87,0
TX0000120,cust_0389,2024-05-18T13:51:00,withdrawal,travel,494.39,0
TX0000121,cust_0389,2024-02-15T22:11:00,purchase,entertainment,420.99,0
TX0000122,cust_0084,2024-06-22T07:00:00,transfer,electronics,708.11,0
TX0000123,cust_0359,2024-01-08T07:53:00,payment,healthcare,340.21,0
TX0000124,cust_0773,2024-04-23T02:39:00,payment,electronics,51.39,0
TX0000125,cust_0157,2024-04-12T16:01:00,withdrawal,electronics,361.62,0
TX0000126,cust_0224,2024-01-31T13:04:00,payment,travel,700.23,0
TX0000127,cust_0766,2024-06-24T14:55:00,transfer,grocery,1078.94,0
TX0000128,cust_0319,2024-04-14T19:41:00,payment,travel,166.61,0
TX0000129,cust_0694,2024-02-06T02:30:00,withdrawal,healthcare,1362.5,0
TX0000130,cust_0078,2024-01-19T13:12:00,purchase,grocery,890.19,0
TX0000131,cust_0714,2024-05-26T15:24:00,purchase,utilities,1159.86,0
TX0000132,cust_0124,2024-03-04T04:57:00,withdrawal,electronics,1195.36,0
TX0000133,cust_0546,2024-04-27T21:09:00,withdrawal,utilities,645.43,0
TX0000134,cust_0350,2024-01-20T05:06:00,withdrawal,entertainment,23.91,0
TX0000135,cust_0444,2024-05-08T18:16:00,transfer,entertainment,1441.38,0
TX0000136,cust_0157,2024-02-19T04:00:00,transfer,healthcare,656.05,0
TX0000137,cust_0631,2024-03-25T15:03:00,withdrawal,entertainment,1213.26,0
TX0000138,cust_0447,2024-06-04T01:11:00,withdrawal,travel,1239.47,0
TX0000139,cust_0252,2024-02-14T09:27:00,payment,entertainment,1246.94,0
TX0000140,cust_0769,2024-03-02T05:44:00,transfer,entertainment,699.74,0
TX0000141,cust_0030,2024-02-08T14:45:00,payment,entertainment,743.99,0
TX0000142,cust_0364,2024-05-07T15:31:00,payment,utilities,1197.76,0
TX0000143,cust_0283,2024-01-16T14:02:00,withdrawal,grocery,835.91,0
TX0000144,cust_0248,2024-05-05T17:19:00,withdrawal,grocery,1081.51,0
TX0000145,cust_0488,2024-01-17T22:33:00,withdrawal,electronics,970.62,0
TX0000146,cust_0302,2024-04-30T20:53:00,transfer,travel,336.29,0
TX0000147,cust_0596,2024-03-18T11:03:00,withdrawal,travel,556.69,0
TX0000148,cust_0764,2024-02-19T07:39:00,withdrawal,entertainment,827.83,0
TX0000149,cust_0314,2024-02-27T10:39:00,payment,grocery,380.85,0
TX0000150,cust_0123,2024-02-03T16:55:00,purchase,healthcare,1115.61,0
TX0000151,cust_0197,2024-04-17T07:56:00,withdrawal,healthcare,328.5,0
TX0000152,cust_0538,2024-02-23T22:19:00,purchase,grocery,897.2,0
TX0000153,cust_0233,2024-04-07T05:40:00,payment,healthcare,544.52,0
TX0000154,cust_0130,2024-02-23T04:21:00,purchase,utilities,415.1,0
TX0000155,cust_0715,2024-01-19T16:12:00,transfer,entertainment,1416.41,0
TX0000156,cust_0588,2024-02-03T13:29:00,withdrawal,travel,430.09,0
TX0000157,cust_0053,2024-05-29T15:52:00,purchase,electronics,382.46,0
TX0000158,cust_0067,2024-05-04T23:09:00,payment,healthcare,604.06,0
TX0000159,cust_0055,2024-01-16T12:09:00,purchase,travel,231.83,0
TX0000160,cust_0255,2024-04-18T12:31:00,transfer,utilities,182.09,0
TX0000161,cust_0634,2024-06-14T09:18:00,withdrawal,entertainment,342.4,0
TX0000162,cust_0603,2024-01-11T23:09:00,payment,utilities,1485.1,0
TX0000163,cust_0625,2024-04-23T20:55:00,payment,grocery,1440.36,0
TX0000164,cust_0217,2024-02-01T15:24:00,payment,grocery,400.65,0
TX0000165,cust_0566,2024-05-05T11:54:00,payment,entertainment,117.22,0
TX0000166,cust_0299,2024-05-07T23:23:00,payment,travel,53.8,0
TX0000167,cust_0465,2024-05-23T10:04:00,payment,travel,111.41,0
TX0000168,cust_0641,2024-03-18T09:27:00,purchase,grocery,886.74,0
TX0000169,cust_0118,2024-05-30T11:36:00,transfer,travel,819.12,0
TX0000170,cust_0146,2024-04-18T07:47:00,payment,travel,111.76,0
TX0000171,cust_0767,2024-01-23T15:18:00,purchase,entertainment,1237.24,0
TX0000172,cust_0480,2024-04-01T02:35:00,transfer,travel,1034.57,0
TX0000173,cust_0553,2024-06-10T21:56:00,payment,electronics,743.22,0
TX0000174,cust_0443,2024-01-17T15:00:00,transfer,electronics,1103.13,0
TX0000175,cust_0235,2024-04-16T21:10:00,purchase,utilities,1443.06,0
TX0000176,cust_0022,2024-04-14T21:39:00,transfer,travel,1499.36,0
TX0000177,cust_0042,2024-04-28T14:29:00,payment,utilities,1145.85,0
TX0000178,cust_0453,2024-03-20T08:24:00,payment,utilities,1374.53,0
TX0000179,cust_0651,2024-03-04T08:15:00,purchase,entertainment,1222.3,0
TX0000180,cust_0419,2024-03-01T00:56:00,transfer,grocery,503.3,0
TX0000181,cust_0422,2024-05-28T02:31:00,payment,entertainment,1042.04,0
TX0000182,cust_0779,2024-02-15T22:44:00,withdrawal,travel,827.39,0
TX0000183,cust_0332,2024-05-30T04:09:00,transfer,utilities,178.3,0
TX0000184,cust_0002,2024-01-10T20:49:00,withdrawal,entertainment,988.2,0
TX0000185,cust_0193,2024-04-23T20:27:00,transfer,entertainment,780.07,0
TX0000186,cust_0453,2024-01-24T20:24:00,payment,utilities,1141.19,0
TX0000187,cust_0295,2024-01-06T06:07:00,transfer,electronics,659.98,0
TX0000188,cust_0646,2024-02-26T13:41:00,payment,grocery,915.26,0
TX0000189,cust_0565,2024-06-02T04:09:00,withdrawal,grocery,25.44,0
TX0000190,cust_0117,2024-03-31T17:26:00,payment,grocery,694.86,0
TX0000191,cust_0734,2024-05-31T22:57:00,transfer,entertainment,441.33,0
TX0000192,cust_0484,2024-02-04T16:47:00,withdrawal,entertainment,369.38,0
TX0000193,cust_0614,2024-02-20T06:56:00,purchase,electronics,764.82,0
TX0000194,cust_0792,2024-02-18T15:17:00,withdrawal,utilities,1186.06,0
TX0000195,cust_0003,2024-04-15T13:43:00,payment,utilities,427.84,0
TX0000196,cust_0676,2024-03-29T04:07:00,payment,utilities,737.01,0
TX0000197,cust_0354,2024-03-23T21:25:00,transfer,entertainment,502.0,0
TX0000198,cust_0330,2024-04-14T02:13:00,purchase,grocery,1305.05,0
TX0000199,cust_0393,2024-02-27T22:08:00,transfer,electronics,354.18,0
TX0000200,cust_0763,2024-03-11T06:48:00,purchase,entertainment,712.1,0
TX0000201,cust_0680,2024-03-31T04:07:00,transfer,grocery,1189.63,0
TX0000202,cust_0038,2024-06-07T07:46:00,purchase,travel,193.74,0
TX0000203,cust_0103,2024-06-14T17:46:00,withdrawal,utilities,1311.91,0
TX0000204,cust_0468,2024-06-25T13:48:00,payment,healthcare,27.94,0
TX0000205,cust_0159,2024-03-02T15:11:00,transfer,travel,116.87,0
TX0000206,cust_0639,2024-06-04T03:56:00,transfer,travel,1040.59,0
TX0000207,cust_0691,2024-04-24T02:31:00,withdrawal,travel,1289.72,0
TX0000208,cust_0736,2024-01-07T12:50:00,withdrawal,utilities,1331.72,0
TX0000209,cust_0633,2024-02-11T09:54:00,transfer,travel,107.29,0
TX0000210,cust_0765,2024-05-08T03:20:00,purchase,healthcare,140.12,0
TX0000211,cust_0103,2024-01-09T08:56:00,transfer,electronics,668.3,0
TX0000212,cust_0333,2024-03-19T09:41:00,payment,travel,1195.23,0
TX0000213,cust_0150,2024-05-24T06:34:00,withdrawal,healthcare,370.08,0
TX0000214,cust_0185,2024-04-22T19:33:00,payment,entertainment,259.13,0
TX0000215,cust_0700,2024-02-12T06:26:00,purchase,grocery,365.04,0
TX0000216,cust_0473,2024-01-02T17:03:00,withdrawal,healthcare,958.67,0
TX0000217,cust_0477,2024-01-14T10:42:00,transfer,grocery,1352.31,0
TX0000218,cust_0453,2024-04-26T07:33:00,purchase,travel,1418.13,0
TX0000219,cust_0435,2024-02-06T06:23:00,withdrawal,travel,1037.02,0
TX0000220,cust_0394,2024-04-14T02:46:00,payment,entertainment,1280.74,0
TX0000221,cust_0368,2024-01-04T23:51:00,purchase,travel,864.34,0
TX0000222,cust_0675,2024-05-21T16:29:00,payment,healthcare,596.73,0
TX0000223,cust_0763,2024-03-31T10:14:00,purchase,healthcare,1460.54,0
TX0000224,cust_0294,2024-02-09T20:50:00,payment,travel,1164.73,0
TX0000225,cust_0652,2024-05-19T17:07:00,payment,healthcare,289.25,0
TX0000226,cust_0676,2024-06-13T11:01:00,payment,electronics,1022.88,0
TX0000227,cust_0643,2024-01-07T01:46:00,payment,entertainment,971.28,0
TX0000228,cust_0594,2024-02-29T11:27:00,payment,travel,550.47,0
TX0000229,cust_0766,2024-06-08T13:18:00,payment,utilities,626.18,0
TX0000230,cust_0375,2024-02-16T18:43:00,purchase,grocery,798.62,0
TX0000231,cust_0494,2024-05-26T09:44:00,payment,travel,1451.24,0
TX0000232,cust_0118,2024-06-05T14:00:00,payment,grocery,705.16,0
TX0000233,cust_0693,2024-03-07T14:05:00,purchase,utilities,2638.64,1
TX0000234,cust_0271,2024-05-16T08:28:00,withdrawal,healthcare,807.18,0
TX0000235,cust_0599,2024-01-20T17:22:00,transfer,travel,574.63,0
TX0000236,cust_0692,2024-02-29T17:04:00,payment,utilities,354.56,0
TX0000237,cust_0625,2024-06-14T13:10:00,payment,entertainment,335.94,0
TX0000238,cust_0718,2024-01-09T06:07:00,withdrawal,grocery,456.77,0
TX0000239,cust_0039,2024-02-12T17:51:00,withdrawal,electronics,460.03,0
TX0000240,cust_0551,2024-06-21T19:54:00,withdrawal,healthcare,207.82,0
TX0000241,cust_0761,2024-05-15T03:01:00,withdrawal,utilities,1046.24,0
TX0000242,cust_0745,2024-05-31T18:27:00,withdrawal,electronics,236.01,0
TX0000243,cust_0502,2024-01-06T22:56:00,purchase,travel,925.4,0
TX0000244,cust_0707,2024-06-04T17:31:00,withdrawal,grocery,558.94,0
TX0000245,cust_0372,2024-06-13T03:34:00,transfer,utilities,153.54,0
TX0000246,cust_0661,2024-06-25T06:09:00,withdrawal,grocery,541.22,0
TX0000247,cust_0126,2024-04-30T15:40:00,purchase,electronics,1423.77,0
TX0000248,cust_0218,2024-01-10T04:58:00,withdrawal,electronics,964.35,0
TX0000249,cust_0342,2024-02-07T08:33:00,payment,utilities,369.14,0
TX0000250,cust_0071,2024-02-09T07:30:00,withdrawal,utilities,1245.58,0
TX0000251,cust_0239,2024-01-01T12:23:00,payment,utilities,496.2,0
TX0000252,cust_0149,2024-01-21T00:16:00,withdrawal,grocery,1481.35,0
TX0000253,cust_0677,2024-05-23T19:29:00,payment,travel,1300.34,0
TX0000254,cust_0244,2024-01-10T12:56:00,payment,travel,885.34,0
TX0000255,cust_0130,2024-01-12T13:41:00,withdrawal,healthcare,1113.87,0
TX0000256,cust_0488,2024-01-20T20:27:00,withdrawal,utilities,675.17,0
TX0000257,cust_0463,2024-05-12T09:22:00,purchase,electronics,758.24,0
TX0000258,cust_0675,2024-01-12T01:45:00,withdrawal,electronics,784.57,0
TX0000259,cust_0491,2024-03-30T06:01:00,withdrawal,electronics,1271.71,0
TX0000260,cust_0730,2024-02-28T15:19:00,payment,electronics,1365.0,0
TX0000261,cust_0623,2024-04-25T05:57:00,payment,utilities,226.76,0
TX0000262,cust_0600,2024-04-06T14:02:00,payment,utilities,824.79,0
TX0000263,cust_0302,2024-05-24T09:05:00,transfer,electronics,683.3,0
TX0000264,cust_0719,2024-05-11T05:23:00,transfer,utilities,176.05,0
TX0000265,cust_0441,2024-05-30T15:02:00,payment,travel,680.07,0
TX0000266,cust_0465,2024-03-18T16:33:00,transfer,travel,601.1,0
TX0000267,cust_0321,2024-05-05T00:46:00,withdrawal,grocery,999.34,0
TX0000268,cust_0486,2024-03-19T14:53:00,purchase,electronics,105.36,0
TX0000269,cust_0099,2024-04-11T06:49:00,withdrawal,grocery,1118.16,0
TX0000270,cust_0062,2024-05-01T23:19:00,withdrawal,travel,881.77,0
TX0000271,cust_0126,2024-06-07T00:45:00,purchase,entertainment,619.16,0
TX0000272,cust_0739,2024-03-05T00:21:00,payment,travel,81.91,0
TX0000273,cust_0107,2024-03-28T18:43:00,payment,healthcare,868.99,0
TX0000274,cust_0230,2024-03-07T21:53:00,withdrawal,utilities,1271.68,0
TX0000275,cust_0118,2024-06-02T20:32:00,withdrawal,entertainment,1145.1,0
TX0000276,cust_0575,2024-05-02T21:01:00,purchase,utilities,1461.95,0
TX0000277,cust_0027,2024-02-18T16:29:00,transfer,healthcare,915.45,0
TX0000278,cust_0030,2024-06-16T18:15:00,transfer,travel,274.72,0
TX0000279,cust_0348,2024-04-13T02:17:00,payment,grocery,529.78,0
TX0000280,cust_0674,2024-06-25T21:54:00,payment,healthcare,604.17,0
TX0000281,cust_0032,2024-03-17T10:16:00,withdrawal,entertainment,142.18,0
TX0000282,cust_0465,2024-02-29T01:15:00,withdrawal,healthcare,514.64,0
TX0000283,cust_0796,2024-01-29T07:44:00,withdrawal,electronics,1412.4,0
TX0000284,cust_0162,2024-02-19T12:50:00,payment,electronics,1132.88,0
TX0000285,cust_0454,2024-03-16T09:35:00,withdrawal,entertainment,994.6,0
TX0000286,cust_0280,2024-03-19T06:19:00,withdrawal,travel,327.28,0
TX0000287,cust_0114,2024-04-05T22:12:00,transfer,entertainment,428.45,0
TX0000288,cust_0684,2024-01-10T23:20:00,payment,utilities,466.09,0
TX0000289,cust_0008,2024-05-19T02:40:00,purchase,grocery,310.61,0
TX0000290,cust_0262,2024-05-15T23:45:00,payment,entertainment,437.72,0
TX0000291,cust_0441,2024-02-11T21:22:00,withdrawal,healthcare,267.66,0
TX0000292,cust_0513,2024-01-14T02:54:00,transfer,travel,840.29,0
TX0000293,cust_0407,2024-03-24T16:41:00,payment,electronics,1293.34,0
TX0000294,cust_0080,2024-03-14T14:57:00,withdrawal,utilities,1293.85,0
TX0000295,cust_0727,2024-01-04T19:07:00,payment,entertainment,962.01,0
TX0000296,cust_0333,2024-05-31T11:10:00,purchase,entertainment,261.95,0
TX0000297,cust_0707,2024-02-14T07:03:00,payment,electronics,1380.06,0
TX0000298,cust_0447,2024-06-07T11:22:00,withdrawal,entertainment,885.36,0
TX0000299,cust_0318,2024-01-14T21:42:00,payment,grocery,1119.98,0
TX0000300,cust_0523,2024-06-13T22:02:00,withdrawal,grocery,951.67,0
TX0000301,cust_0795,2024-05-28T08:57:00,transfer,healthcare,527.32,0
TX0000302,cust_0152,2024-02-01T14:01:00,payment,grocery,358.22,0
TX0000303,cust_0617,2024-02-02T05:57:00,transfer,electronics,233.54,0
TX0000304,cust_0644,2024-03-22T17:17:00,transfer,utilities,743.7,0
TX0000305,cust_0579,2024-06-06T07:57:00,purchase,travel,966.27,0
TX0000306,cust_0643,2024-03-21T12:02:00,withdrawal,entertainment,477.63,0
TX0000307,cust_0647,2024-03-05T01:39:00,payment,electronics,457.72,0
TX0000308,cust_0520,2024-01-11T08:33:00,withdrawal,electronics,115.92,0
TX0000309,cust_0378,2024-04-21T23:00:00,payment,electronics,1248.39,0
TX0000310,cust_0609,2024-06-22T17:06:00,withdrawal,utilities,763.07,0
TX0000311,cust_0757,2024-04-28T15:55:00,withdrawal,utilities,1344.34,0
TX0000312,cust_0193,2024-06-23T08:21:00,withdrawal,grocery,485.68,0
TX0000313,cust_0064,2024-06-27T20:06:00,purchase,travel,678.53,0
TX0000314,cust_0732,2024-02-15T02:24:00,transfer,electronics,131.07,0
TX0000315,cust_0725,2024-04-21T00:16:00,withdrawal,utilities,659.45,0
TX0000316,cust_0163,2024-03-15T09:56:00,purchase,entertainment,549.03,0
TX0000317,cust_0794,2024-04-27T20:07:00,withdrawal,healthcare,510.86,0
TX0000318,cust_0343,2024-03-11T08:55:00,payment,healthcare,103.54,0
TX0000319,cust_0291,2024-06-07T23:25:00,purchase,utilities,381.73,0
TX0000320,cust_0154,2024-06-15T21:19:00,withdrawal,grocery,503.38,0
TX0000321,cust_0359,2024-03-12T08:29:00,transfer,healthcare,468.8,0
TX0000322,cust_0133,2024-04-11T17:58:00,purchase,travel,894.59,0
TX0000323,cust_0386,2024-05-01T23:46:00,payment,grocery,967.02,0
TX0000324,cust_0720,2024-06-15T02:32:00,transfer,healthcare,1244.29,0
TX0000325,cust_0540,2024-03-06T20:51:00,transfer,utilities,144.71,0
TX0000326,cust_0019,2024-03-03T05:03:00,payment,grocery,547.08,0
TX0000327,cust_0785,2024-01-29T04:57:00,payment,grocery,731.98,0
TX0000328,cust_0080,2024-05-20T08:00:00,transfer,utilities,447.21,0
TX0000329,cust_0553,2024-04-30T12:00:00,purchase,electronics,1253.5,0
TX0000330,cust_0345,2024-03-09T13:54:00,transfer,utilities,2459.71,1
TX0000331,cust_0710,2024-05-11T06:53:00,purchase,grocery,1157.79,0
TX0000332,cust_0449,2024-02-13T05:47:00,withdrawal,healthcare,70.32,0
TX0000333,cust_0455,2024-02-12T14:22:00,transfer,entertainment,917.84,0
TX0000334,cust_0547,2024-06-13T13:31:00,purchase,entertainment,362.56,0
TX0000335,cust_0199,2024-03-25T01:06:00,purchase,entertainment,554.92,0
TX0000336,cust_0788,2024-03-17T05:09:00,withdrawal,utilities,426.25,0
TX0000337,cust_0166,2024-06-07T22:12:00,purchase,grocery,1226.25,0
TX0000338,cust_0257,2024-04-10T22:49:00,withdrawal,travel,83.01,0
TX0000339,cust_0106,2024-02-21T21:27:00,withdrawal,electronics,1068.54,0
TX0000340,cust_0086,2024-01-27T19:46:00,payment,utilities,1145.86,0
TX0000341,cust_0448,2024-06-10T01:00:00,purchase,entertainment,142.11,0
TX0000342,cust_0358,2024-04-01T09:18:00,withdrawal,entertainment,1396.06,0
TX0000343,cust_0383,2024-02-10T21:01:00,purchase,travel,357.49,0
TX0000344,cust_0029,2024-04-28T07:43:00,payment,healthcare,481.43,0
TX0000345,cust_0344,2024-06-16T00:09:00,payment,travel,1188.11,0
TX0000346,cust_0484,2024-03-26T09:34:00,payment,healthcare,1045.63,0
TX0000347,cust_0460,2024-02-16T14:08:00,purchase,electronics,1654.51,1
TX0000348,cust_0745,2024-02-13T06:15:00,withdrawal,travel,915.28,0
TX0000349,cust_0309,2024-05-24T12:35:00,payment,healthcare,187.16,0
TX0000350,cust_0638,2024-04-18T15:11:00,payment,entertainment,688.38,0
